courseCode,courseName,major
CHIR3105 , Chiropractic Science 5, Chiropractic  
CHIR3106 , Chiropractic Science 6, Chiropractic  
CHIR3610 , Foundations of Clinical Practice, Chiropractic  
CHIR6110 , Chiropractic A, Chiropractic  
CHIR6111 , Chiropractic B, Chiropractic  
CHIR6302 , Medical Sciences A, Chiropractic  
CHIR6303 , Medical Sciences B, Chiropractic  
CHIR6410 , Radiographic Science, Chiropractic  
CHIR6510 , Diagnostic Sciences, Chiropractic  
CHIR8103 , Clinical Chiropractic 3, Chiropractic  
CHIR8104 , Clinical Chiropractic 4, Chiropractic  
CHIR8201 , Postgraduate Advanced Research I, Chiropractic  
CHIR8202 , Postgraduate Advanced Research II, Chiropractic  
CHIR8401 , Diagnostic Imaging 1, Chiropractic  
CHIR8402 , Diagnostic Imaging 2, Chiropractic  
CHIR8501 , Neuromusculoskeletal Diagnosis 1, Chiropractic  
CHIR8502 , Neuromusculoskeletal Diagnosis 2, Chiropractic  
CHIR8503 , Physical and Functional Assessment, Chiropractic  
CHIR8505 , Diagnosis and Management 1, Chiropractic  
CHIR8506 , Diagnosis and Management 2, Chiropractic  
CHIR8511 , Clinical Neurology , Chiropractic  
CHIR8512 , Orthopaedic Physical Assessment, Chiropractic  
CHIR8513 , Functional Rehabilitation, Chiropractic  
CHIR8514 ,Clinical Management, Chiropractic  
CHIR8601 , Clinic Internship 1, Chiropractic  
CHIR8602 , Clinic Internship 2, Chiropractic  
CHIR8990 , Anatomy and Chiropractic, Chiropractic  
CIVL1001 , Introduction to Civil Engineering, Engineering 
CIVL2101 , Water and Wastewater Engineering, Engineering 
CIVL2201 , Soil Mechanics, Engineering 
CIVL2205 , Geotechnical Engineering, Engineering 
CIVL2301 , Structural Analysis, Engineering 
CIVL3101 , Hydraulics and Hydrology, Engineering 
CIVL4090 , Civil Engineering Research Thesis A, Engineering 
CIVL4091 , Civil Engineering Research Thesis B, Engineering 
CIVL6101 , Water and Wastewater Engineering, Engineering 
CLIN8990 , Clinical Medicine,Owned at Faculty level 
COGS1000 , Introduction to Neuroscience 1, Cognitive Science  
COGS1005 , Introduction to Neuroscience 2, Cognitive Science  
COGS1010 , Delusions and Disorders of the Mind and Brain, Cognitive Science  
COGS2000 , Cognitive Neuroscience, Cognitive Science  
COGS2010 , Memory, Cognitive Science  
COGS2020 , Experimental Design and Data Analysis for the Cognitive and Brain Sciences, Cognitive Science  
COGS2030 , Hearing and Brain, Cognitive Science  
COGS2040 , Attention and Action, Cognitive Science  
COGS2050 , Reading in the Mind and Brain, Cognitive Science  
COGS2250 , Cognitive and Brain Sciences Laboratory, Cognitive Science  
COGS3020 , Computational Neuroscience, Cognitive Science  
COGS3030 , Human Neuroimaging, Cognitive Science  
COGS3040 , Space and Time in the Brain, Cognitive Science  
COGS3220 ,Technology Interactions, Cognitive Science  
COGS3250 , Advanced Research Experience and Training, Cognitive Science  
COGS3999 , Cognitive Science in the Real World, Cognitive Science  
COGS7030 , Advanced Principles of Cognitive Science: Sensation and Perception, Cognitive Science  
COMP1000 , Introduction to Computer Programming, Computing  
COMP1010 , Fundamentals of Computer Science, Computing  
COMP1050 , Introduction to Software Engineering, Computing  
COMP1150 , Introduction to Video Games, Computing  
COMP1300 , Introduction to Cyber Security, Computing  
COMP1750 , Introduction to Business Information Systems, Computing  
COMP2000 ,Oriented Programming Practices, Computing  
COMP2010 , Algorithms and Data Structures, Computing  
COMP2050 , Software Engineering, Computing  
COMP2100 , Systems Programming, Computing  
COMP2110 , Web Technology, Computing  
COMP2150 , Game Design, Computing  
COMP2160 , Game Development, Computing  
COMP2200 , Data Science, Computing  
COMP2250 , Data Communications, Computing  
COMP2300 , Applied Cryptography, Computing  
COMP2310 , Digital Forensics, Computing  
COMP2320 , Offensive Security, Computing  
COMP2350 , Database Systems, Computing  
COMP2750 , Applications Modelling and Development, Computing  
COMP3000 , Programming Languages, Computing  
COMP3010 , Algorithm Theory and Design, Computing  
COMP3100 , Distributed Systems, Computing  
COMP3120 , Advanced Web Development, Computing  
COMP3130 , Mobile Application Development, Computing  
COMP3150 , Games Project A, Computing  
COMP3151 , Games Project B, Computing  
COMP3160 , Artificial Intelligence, Computing  
COMP3170 , Computer Graphics, Computing  
COMP3180 , Advanced Game Development, Computing  
COMP3210 , Big Data, Computing  
COMP3220 , Document Processing and the Semantic Web, Computing  
COMP3250 , Computer Networks, Computing  
COMP3260 , Cisco Networking I, Computing  
COMP3265 , Cisco Networking II, Computing  
COMP3300 , Data Privacy and Information Security, Computing  
COMP3320 , Cyber Security Management in Practice, Computing  
COMP3760 , Enterprise Systems Integration, Computing  
COMP3770 , Management of IT Systems and Projects, Computing  
COMP3780 , Technology Management, Computing  
COMP3850 , Computing Industry Project, Computing  
COMP3900 , Computing Research III, Computing  
COMP4000 , Formal Methods, Computing  
COMP4050 , Software Engineering Practices, Computing  
COMP4060 , Advanced Software Engineering, Computing  
COMP4092 , Software Engineering Research Thesis A, Computing  
COMP4093 , Software Engineering Research Thesis B, Computing  
COMP6010 , Fundamentals of Computer Science, Computing  
COMP6011 , Algorithms and Data Structures, Computing  
COMP6100 , Systems Programming, Computing  
COMP6102 , Algorithm Theory and Design, Computing  
COMP6105 , Distributed Systems, Computing  
COMP6110 , Web Technology, Computing  
COMP6120 , Advanced Web Development, Computing  
COMP6200 , Data Science, Computing  
COMP6210 , Big Data, Computing  
COMP6250 , Data Communication, Computing  
COMP6260 , Cisco Networking I, Computing  
COMP6265 , Cisco Networking II, Computing  
COMP6300 , Applied Cryptography, Computing  
COMP6320 , Offensive Security, Computing  
COMP6325 , Cyber Security Management in Practice, Computing  
COMP6350 , Database Systems, Computing  
COMP6750 ," Applications, Modelling and Development", Computing  
COMP6760 , Enterprise Systems Integration, Computing  
COMP6770 , Management of IT Systems and Projects, Computing  
COMP7000 , Advanced Algorithms, Computing  
COMP7010 , Advanced Topics in Theory and Practice of Software, Computing  
COMP7210 , Big Data Technologies, Computing  
COMP7220 , Data Science and Machine Learning, Computing  
COMP7250 , Computer Networks, Computing  
COMP7260 , Network and Systems Security, Computing  
COMP7750 , Information Systems Design and Management, Computing  
COMP7860 , Computing Methods for Research, Computing  
COMP7871 , Research Topic in Computing 1, Computing  
COMP7873 , Research Topic in Computing 3, Computing  
COMP7900 , Research Frontiers in Computing 1, Computing  
COMP8110 , Distributed Systems, Computing  
COMP8210 , Big Data Technologies, Computing  
COMP8220 , Machine Learning, Computing  
COMP8230 , Mining Unstructured Data, Computing  
COMP8240 , Applications of Data Science, Computing  
COMP8250 , Advanced Topics in Computer Networks, Computing  
COMP8260 , Advanced System and Network Security, Computing  
COMP8270 , Network System Design, Computing  
COMP8280 , Mobile Data Networks, Computing  
COMP8290 , Multimedia Networks and Real Time Protocols, Computing  
COMP8300 , Security Management, Computing  
COMP8310 , Security Technologies and Forensic Analysis, Computing  
COMP8320 , Information and Data Security, Computing  
COMP8325 , Applications of Artificial Intelligence for Cyber Security, Computing  
COMP8750 , Information Systems Design and Management, Computing  
COMP8760 , Enterprise Application Integration, Computing  
COMP8770 , Information Systems Project and Risk Management, Computing  
COMP8780 , Enterprise Management, Computing  
COMP8790 , Strategic Project Management, Computing  
COMP8851 , Industry Based Internship A, Computing  
COMP8860 , Industry Based Internship B, Computing  
COMP8990 , Computing, Computing  
CROA1008 , Croatian Culture and Civilisation," Media, Communications, Creative Arts, Language and Literature "
CROA1010 , I Croatian Studies 1," Media, Communications, Creative Arts, Language and Literature "
CROA1020 , I Croatian Studies 2," Media, Communications, Creative Arts, Language and Literature "
CROA2010 , I Croatian Studies 3," Media, Communications, Creative Arts, Language and Literature "
CROA2020 , I Croatian Studies 4," Media, Communications, Creative Arts, Language and Literature "
CROA3010 , I Croatian Studies 5," Media, Communications, Creative Arts, Language and Literature "
CROA3020 , I Croatian Studies 6," Media, Communications, Creative Arts, Language and Literature "
ECHE1130 , Play Based Approaches to Early Childhood Learning and Development, Education 
ECHE1180 , Infancy and Early Development, Education 
ECHE1200 , History and Philosophy of Early Childhood, Education 
ECHE1300 , Health and Wellbeing, Education 
ECHE1310 ," The Arts in Children's Lives", Education 
ECHE2100 ,based Curriculum: Literacy and Numeracy, Education 
ECHE2180 , Child Development in the Preschool and Primary School Years, Education 
ECHE2200 , Early Years Curriculum and Pedagogy in the Australian Context, Education 
ECHE2310 ," Young Children's Language, Literature and Literacy", Education 
ECHE2320 , Mathematical and Scientific Thinking in the Early Years, Education 
ECHE2340 ," Teaching and Learning Mathematics, Science and Technology 2", Education 
ECHE3100 ,based Curriculum: Discovery and Creativity in Outdoor Environments, Education 
ECHE3110 , Infant and Toddler Curriculum and Pedagogy, Education 
ECHE3150 , Leading and Managing as Early Childhood Teachers, Education 
ECHE3190 , The Arts in Education, Education 
ECHE3260 ," Working with Families, Communities and Other Professionals in Education Settings", Education 
ECHE3300 , PDHPE/HSIE, Education 
ECHE3330 , Inclusive Education, Education 
ECHE3400 , Curriculum Connections and Pedagogy 1, Education 
ECHE4000 , Individual Educational Project, Education 
ECHE4200 , The Educational Leader, Education 
ECHE4300 , Teaching and Learning Science and Technology, Education 
ECHE4310 , Teaching and Learning Mathematics, Education 
ECHE4330 , Issues in Developmental Literacy, Education 
ECHE4350 , Management and Leadership II: Building Learning Environments, Education 
ECHE4500 , Curriculum Connections and Pedagogy 2, Education 
ECHE4520 , Child Development: Research and Practice, Education 
ECHE6000 , Early Childhood Philosophy and Pedagogy, Education 
ECHE6010 ,being in Early Childhood, Education 
ECHE6020 , Early Childhood Development, Education 
ECHE6030 , Early Childhood Professional Practice 1, Education 
ECHE7540 , Minor Independent Investigation, Education 
ECHE8200 , Families in Context, Education 
ECHE8220 , Issues in Early Childhood Policy and Pedagogy, Education 
ECHE8230 , Language and Literacy in Early Childhood, Education 
ECHE8240 , Early Childhood Development Research and Practice, Education 
ECHE8250 , Early Childhood Professional Practice 2, Education 
ECHE8260 , Leading and Managing Early Childhood Settings, Education 
ECHE8270 ," Learning Through Mathematics, Science and Technology in Early Childhood Settings", Education 
ECHE8290 , Early Childhood Postgraduate Internship, Education 
ECHE8320 , Contemporary Approaches to Infant and Toddler Theory and Practice, Education 
ECHP2220 , Professional Experience 2, Education 
ECHP2230 , Professional Experience 3, Education 
ECHP3250 , Professional Experience 5, Education 
ECHP3270 , Professional Experience 4, Education 
ECHP3300 , Program Planning in ATSI Contexts, Education 
ECHP4240 , Professional Experience 7, Education 
ECHP4250 , Professional Experience 6, Education 
ECHX6000 , Early Childhood Philosophy and Pedagogy, Education 
ECHX6010 ,being in Early Childhood, Education 
ECHX6020 , Early Childhood Development, Education 
ECHX6030 , Early Childhood Professional Practice 1, Education 
ECHX8200 , Families in Context, Education 
ECHX8220 , Issues in Early Childhood Policy and Pedagogy, Education 
ECHX8230 , Language and Literacy in Early Childhood, Education 
ECHX8240 , Early Childhood Development Research and Practice, Education 
ECHX8250 , Early Childhood Professional Practice 2, Education 
ECHX8260 , Leading and Managing Early Childhood Settings, Education 
ECHX8270 ," Learning Through Mathematics, Science and Technology in Early Childhood Settings", Education 
ECHX8290 , Early Childhood Postgraduate Internship, Education 
ECNM8990 , Economics, Economics  
ECON1020 , Principles of Economics 1, Economics  
ECON1021 , Principles of Economics 2, Economics  
ECON1031 ," Quantitative Methods in Economics, Business and Finance", Economics  
ECON2003 , Microeconomic Analysis and Applications, Economics  
ECON2004 , Macroeconomic Analysis and Applications, Economics  
ECON2015 , Behavioural Economics, Economics  
ECON2032 , Econometric Principles, Economics  
ECON2035 , The Economics of Financial Institutions, Economics  
ECON2041 , Introductory Econometrics, Economics  
ECON2044 , Labour Market Economics, Economics  
ECON2050 , Money and Finance, Economics  
ECON3000 , Public Economics, Economics  
ECON3009 , Industrial Organisation, Economics  
ECON3011 , Macroeconomic Policy, Economics  
ECON3018 , Health Economics, Economics  
ECON3020 , Asian Business Environment, Economics  
ECON3034 , Financial Econometrics, Economics  
ECON3036 , Economic Development, Economics  
ECON3056 , Evolution of Economic Ideas, Economics  
ECON3059 , Environmental Economics, Economics  
ECON3060 , International Finance, Economics  
ECON3081 , Current Issues in Economics, Economics  
ECON3098 , The Asian Economies, Economics  
ECON6032 , Intermediate Microeconomics, Economics  
ECON6033 , Intermediate Macroeconomics, Economics  
ECON6034 , Econometrics and Business Statistics, Economics  
ECON6049 , Economic Analysis, Economics  
ECON6050 , Applied Economic Analysis, Economics  
ECON7012 , Applied Topics in Microeconomics, Economics  
ECON7013 , Applied Topics in Macroeconomics, Economics  
ECON7015 , Topics in Applied Econometrics, Economics  
ECON7016 , Health Economics and Policy, Economics  
ECON7017 , Ecological Economics, Economics  
ECON7035 , Econometric Techniques and Applications, Economics  
ECON8012 , Applied Microeconomic Topics, Economics  
ECON8013 , Applied Macroeconomic Topics, Economics  
ECON8014 , Applied Macroeconomic Policy, Economics  
ECON8015 , Topics in Applied Econometrics, Economics  
ECON8016 , Health Economics and Policy, Economics  
ECON8017 , Ecological Economics, Economics  
ECON8030 , Applied Economics Project, Economics  
ECON8040 , Applied Econometrics, Economics  
ECON8047 , International Trade, Economics  
ECON8053 , Economics of Public Issues, Economics  
ECON8057 , Economic Development, Economics  
ECON8091 , Economics for Actuaries, Economics  
EDIT6000 ," Communication, Publishing and Editing", Linguistics  
EDIT7000 , Editing for Researchers, Linguistics  
EDIT8080 , Tools for Editing, Linguistics  
EDIT8081 ," Language, Writing and Editing", Linguistics  
EDIT8082 , Content Management for Print and Online Delivery, Linguistics  
EDST1000 , Exploring Australian Education: Social and Historical Contexts, Education 
EDST1010 , Learning and Development: An Introduction for Educators, Education 
EDST2000 , Practice of Teaching: Inclusive Education, Education 
EDST2010 , Practice of Teaching: Introduction to the Early Childhood Context, Education 
EDST2100 , Language and Literacies, Education 
EDST2110 ," Principles of Maths, Science and Technology Education", Education 
EDST2120 , Language and Literacy Learning in Early Childhood, Education 
EDST2140 , STEAM Integration in the Early Years, Education 
EDST3000 , Practice of Teaching: Cultures in History and Geography, Education 
EDST3010 , Practice of Teaching: Classroom Management and Assessment in the Secondary School, Education 
EDST3020 , Practice of Teaching: Outdoor Learning Environments, Education 
EDST3110 ," Designing Mathematics, Science and Technology Learning", Education 
EDST3140 , Introduction to the Secondary Curriculum, Education 
EDST3170 , Indigenous Education, Education 
EDST4010 , Practice of Teaching: ICT in the Secondary School, Education 
EDST4020 , Practice of Teaching: Culturally and Linguistically Diverse Secondary Classrooms, Education 
EDST4030 ,6, Education 
EDST4040 , Practice of Teaching: Transition to the Primary Teaching Profession, Education 
EDST4050 , Practice of Teaching: Making Learning Visible with Infants and Toddlers, Education 
EDST4060 , Practice of Teaching: Transition to the Early Childhood Profession, Education 
EDST4100 , Teaching English Language and Literacies in the later Primary School Years, Education 
EDST4110 , Principles of STEM Education, Education 
EDST4120 , Adolescent Development and Classroom Practice, Education 
EDST4130 , The Arts in Education, Education 
EDST4140 , Health and Physical Education in the Primary School, Education 
EDST4150 , Multiliteracies and Literature in the Primary English Curriculum, Education 
EDST4160 , Design of STEM Education, Education 
EDST4180 , Transitioning to the Secondary Teaching Profession, Education 
EDST4200 , Using and Interpreting Educational Data, Education 
EDST8000 , Educational Research, Education 
EDST8040 , Scholarship in Educational Studies, Education 
EDST8060 , Independent Education Project, Education 
EDST8200 , Introduction to Professional Practice and Research, Education 
EDST8201 , Indigenous Education: Strategies and Research, Education 
EDST8203 ," Teaching Mathematics, Science and Technology in the Primary School 1", Education 
EDST8204 ," Teaching Mathematics, Science and Technology in the Primary School 2", Education 
EDST8205 ," Teaching Mathematics, Science and Technology in the Primary School 3", Education 
EDST8206 , Professional Practice 1: Teaching English in the Primary School, Education 
EDST8207 , Teaching English in the Primary School 2, Education 
EDST8208 , Teaching English in the Primary School 3, Education 
EDST8209 , Teaching The Arts, Education 
EDST8212 , English Specialisation, Education 
EDST8213 ," Science, Technology and Mathematics Specialisation", Education 
EDST8220 , Teaching Languages in the Secondary School 1, Education 
EDST8221 , Teaching Languages in the Secondary School 2, Education 
EDST8222 , Teaching English in the Secondary School 1, Education 
EDST8223 , Teaching English in the Secondary School 2, Education 
EDST8224 , Teaching History in the Secondary School 1, Education 
EDST8226 , Teaching Mathematics in the Secondary School 1, Education 
EDST8227 , Teaching Mathematics in the Secondary School 2, Education 
EDST8228 , Teaching Science in the Secondary School 1, Education 
EDST8229 , Teaching Science in the Secondary School 2, Education 
EDST8230 , Teaching Economics and Business Studies in the Secondary School 1, Education 
EDST8231 , Teaching Economics and Business Studies in the Secondary School 2, Education 
EDST8232 , Teaching Geography in the Secondary School 1, Education 
EDST8233 , Teaching Geography in the Secondary School 2, Education 
EDST8234 , Teaching Society and Culture in the Secondary School 1, Education 
EDST8235 , Teaching Society and Culture in the Secondary School 2, Education 
EDST8237 , Professional Practice 1: Curriculum and Pedagogy, Education 
EDST8238 , Professional Practice 2: Literacy and Numeracy for Diverse Learners, Education 
EDST8240 , Professional Practice 3 and Educational Research, Education 
EDST8300 , Learner Development: Advances in Research and Practice, Education 
EDST8301 , Inclusive and Special Education, Education 
EDST8302 , Educational Assessment, Education 
EDST8303 ," Enrichment, Thinking and Creativity in Curriculum", Education 
EDST8304 , Learning Technologies in School, Education 
EDST8310 , Leading the Learning of New Teachers, Education 
EDST8311 , Immersive and Interactive Media: Education and Design, Education 
EDST8312 , Bilingual Education: Theory and Practice, Education 
EDST8316 , An Introduction to STEM and STEM Education, Education 
EDST8420 , Leadership for Learning, Education 
EDST8430 ," Quality Curriculum, Performance and Regulation in Higher Education", Education 
EDST8470 , Human Resource Management in Education, Education 
EDST8650 ,Enhanced Learning, Education 
EDST8710 , Reflexive Learning and Teaching in Higher Education, Education 
EDST8990 , Educational Studies, Education 
EDST8999 , LANTITE PG, Education 
EDSX8000 , Educational Research , Education 
EDSX8301 , Inclusive and Special Education , Education 
EDTE2480 , Key Competencies in Inclusive Education, Education 
EDTE2510 , Curriculum and Teaching in the Primary School 1, Education 
EDTE2520 , Curriculum and Teaching in the Primary School 2, Education 
EDTE3010 , Professional Experience in the Primary School 1, Education 
EDTE3020 , Introduction to Professional Experience in the Secondary School, Education 
EDTE3530 , Curriculum and Teaching in the Primary School 3, Education 
EDTE3540 , Curriculum and Teaching in the Primary School 4, Education 
EDTE3870 , Curriculum and Instruction in the Secondary School I, Education 
EDTE3880 , Curriculum and Instruction in the Secondary School II, Education 
EDTE4010 , Professional Experience in the Secondary School I, Education 
EDTE4020 , Professional Experience in the Secondary School II, Education 
EDTE4030 , Professional Experience in the Primary School 2, Education 
EDTE4040 , Professional Experience in the Primary School 3, Education 
EDTE4050 , Professional Experience for Specific Purposes, Education 
EDTE4210 , Economics and Business Studies in the Secondary School I, Education 
EDTE4220 , Economics and Business Studies in the Secondary School II, Education 
EDTE4230 , English in the Secondary School I, Education 
EDTE4240 , English in the Secondary School II, Education 
EDTE4250 , Geography in the Secondary School I, Education 
EDTE4260 , Geography in the Secondary School II, Education 
EDTE4270 , History in the Secondary School I, Education 
EDTE4280 , History in the Secondary School II, Education 
EDTE4290 , Mathematics in the Secondary School I, Education 
EDTE4300 , Mathematics in the Secondary School II, Education 
EDTE4310 , Languages in the Secondary School I, Education 
EDTE4320 , Languages in the Secondary School II, Education 
EDTE4330 , Science in the Secondary School I, Education 
EDTE4340 , Science in the Secondary School II, Education 
EDTE4410 , Legal Studies in the Secondary School I, Education 
EDTE4420 , English as a Second Language in Schools I, Education 
EDTE4550 , Curriculum and Teaching in the Primary School 5, Education 
EDTE4560 , Curriculum and Teaching in the Primary School 6, Education 
EDUC1050 , Education: The Psychological Context, Education 
EDUC1060 , Education: The Social and Historical Context, Education 
EDUC1070 , Introduction to Educational Studies, Education 
EDUC2580 , Mathematics in Schools, Education 
EDUC2600 ," Language, Literacy and Learning", Education 
EDUC2610 , Information and Communication Technologies and Education, Education 
EDUC2620 , Education: The Learner, Education 
EDUC2670 , Classroom Management and Assessment, Education 
EDUC2890 , Human Society and its Environment, Education 
EDUC2920 , Research Inquiry in Education, Education 
EDUC3620 , Digital Creativity and Learning, Education 
EDUC3650 , Educational Assessment, Education 
EDUC3710 , Reading Acquisition in the Primary Classroom, Education 
EDUC3730 , Literacy in a Multicultural Society, Education 
EDUC3830 , Education in a Global Society, Education 
EDUC3880 , Aboriginal Education Issues and Approaches, Education 
EDUC3990 ," Professional Capability: Policy, Theory, Pedagogy", Education 
EDUC7000 , Foundations in Educational Research, Education 
EDUC7001 , Introduction to Systematic Reviews in Education, Education 
EDUC8240 , Effective Instruction in Reading and Writing , Education 
EDUC8250 ," Effective Instruction in Mathematics, Science and Technology", Education 
EDUC8270 ," Language, Learning, and Communication", Education 
EESC1150 , Planet Earth, Earth and Environmental Sciences 
EESC1160 ," Blue Planet: Oceans, Climate and Life", Earth and Environmental Sciences 
EESC2150 , Mass extinctions and the hidden history of Earth, Earth and Environmental Sciences 
EESC2160 , Climate and Oceans, Earth and Environmental Sciences 
ELCT3005 , Power Electronics, Engineering 
ELCT3006 , Electrical Machines, Engineering 
ELCT4001 , Smart Power Grids, Engineering 
ELCT4004 , Power Systems Analysis, Engineering 
ELCT4092 , Electrical Engineering Research Thesis A, Engineering 
ELCT4093 , Electrical Engineering Research Thesis B, Engineering 
ELEC2005 , Electrical and Electronic Systems, Engineering 
ELEC2040 , Signals and Systems, Engineering 
ELEC2042 , Digital Circuits and Systems, Engineering 
ELEC2070 , Linear Circuits and Devices, Engineering 
ELEC2075 , Nonlinear Circuits and Devices, Engineering 
ELEC3024 , Control Systems, Engineering 
ELEC3042 , Embedded Systems, Engineering 
ELEC3076 , Electronic Devices and Systems, Engineering 
ELEC4092 , Electrical and Electronic Engineering Research Thesis A, Engineering 
ELEC4093 , Electrical and Electronic Engineering Research Thesis B, Engineering 
ELEC4150 , Electronic Design Proficiency, Engineering 
ELEC4250 , System on Chip Design, Engineering 
ELEC8040 ," VLSI, Algorithms, and Systems", Engineering 
ELEC8150 , Electronic Design Proficiency, Engineering 
ELEC8250 , System on Chip Design, Engineering 
ELEC8276 , Electronic Systems Design, Engineering 
ELEC8844 , Signal Processing for Software Defined Radio, Engineering 
ELEC8860 , Hardware Security, Engineering 
ELEC8870 , High Performance IC Design, Engineering 
ENGG1000 , Introduction to Engineering, Engineering 
ENGG1050 , Engineering Design, Engineering 
ENGG2000 , Engineering Practice, Engineering 
ENGG3000 , Engineering Project Practice, Engineering 
ENGG4000 , Systems Design and Engineering, Engineering 
ENGG4001 , Professional Practice, Engineering 
ENGG4092 , Engineering Research Thesis Extension A, Engineering 
ENGG4093 , Engineering Research Thesis Extension B, Engineering 
ENGG4104 , Engineering Contracts and Procurement, Engineering 
ENGG4201 , Internet of Things Systems Design, Engineering 
ENGG8000 , Professional Practice, Engineering 
ENGG8090 , Engineering Project 1, Engineering 
ENGG8105 , Quality and Reliability, Engineering 
ENGG8106 , Engineering Entrepreneurship, Engineering 
ENGG8401 , Safety and Risk Engineering, Engineering 
ENGG8990 , Engineering, Engineering 
ENGL1001 , Literature: Medieval to Modern," Media, Communications, Creative Arts, Language and Literature "
ENGL1002 , Literature: Modern and Contemporary," Media, Communications, Creative Arts, Language and Literature "
ENGL1021 , An Introduction to Creative Writing," Media, Communications, Creative Arts, Language and Literature "
ENGL1050 , Grammar and Writing," Media, Communications, Creative Arts, Language and Literature "
ENGL2010 ," The Human Story: Heart, Mind and Body in Early Literature"," Media, Communications, Creative Arts, Language and Literature "
ENGL2020 ," Revolution, Evolution, Humanity: Literature and Change in the Long Nineteenth Century"," Media, Communications, Creative Arts, Language and Literature "
ENGL2030 , Literature and the Visual," Media, Communications, Creative Arts, Language and Literature "
ENGL2033 , Concepts and Practice in Fiction and Poetry ," Media, Communications, Creative Arts, Language and Literature "
ENGL2036 , Writing Popular Genre Fiction," Media, Communications, Creative Arts, Language and Literature "
ENGL2040 , Historical Fiction and a Passion for the Past," Media, Communications, Creative Arts, Language and Literature "
ENGL3007 , Writing the Short Story," Media, Communications, Creative Arts, Language and Literature "
ENGL3010 ,Century Literature: Human to Posthuman," Media, Communications, Creative Arts, Language and Literature "
ENGL3020 , Global Contemporary Literature: Australians and the World," Media, Communications, Creative Arts, Language and Literature "
ENGL3031 , Popular Fiction," Media, Communications, Creative Arts, Language and Literature "
ENGL3035 , Novel and Novella Writing," Media, Communications, Creative Arts, Language and Literature "
ENGL3040 , Following Poetry from Epic to Instagram," Media, Communications, Creative Arts, Language and Literature "
ENGL3051 , Critical Approaches to Literature," Media, Communications, Creative Arts, Language and Literature "
ENGL3060 , Pursuing Research in Literary Studies," Media, Communications, Creative Arts, Language and Literature "
ENGL7000 , Research in Literary Studies and Creative Writing," Media, Communications, Creative Arts, Language and Literature "
ENGL7001 ," Textual Analysis, Literary Theory and Creative Practice Research"," Media, Communications, Creative Arts, Language and Literature "
ENGL8010 , Creative Writing Seminar: Narrative Fundamentals," Media, Communications, Creative Arts, Language and Literature "
ENGL8011 , Word Essentials: Prose and Poetry," Media, Communications, Creative Arts, Language and Literature "
ENGL8015 , An Introduction," Media, Communications, Creative Arts, Language and Literature "
ENGL8017 , Writing the Past," Media, Communications, Creative Arts, Language and Literature "
ENGL8022 ," short story, novella, poetry cycle"," Media, Communications, Creative Arts, Language and Literature "
ENGL8026 ," Manuscript Project (Half Year, Part A)"," Media, Communications, Creative Arts, Language and Literature "
ENGL8030 , Digital Creative Writing: Interactive Prose and Poetry," Media, Communications, Creative Arts, Language and Literature "
ENGL8036 , Manuscript Project B," Media, Communications, Creative Arts, Language and Literature "
ENGL8075 , Professional Context Project," Media, Communications, Creative Arts, Language and Literature "
ENGL8090 , Special Study Unit 1: Research Preparation," Media, Communications, Creative Arts, Language and Literature "
ENGL8091 , Special Study Unit 2: Research Thesis," Media, Communications, Creative Arts, Language and Literature "
ENGL8990 , English," Media, Communications, Creative Arts, Language and Literature "
ENGX1001 , Literature: Medieval to Modern," Media, Communications, Creative Arts, Language and Literature "
ENGX1002 , Literature: Modern and Contemporary," Media, Communications, Creative Arts, Language and Literature "
ENGX1021 , An Introduction to Creative Writing," Media, Communications, Creative Arts, Language and Literature "
ENGX1050 , Grammar and Writing," Media, Communications, Creative Arts, Language and Literature "
ENGX2010 ," The Human Story: Heart, Mind and Body in Early Literature"," Media, Communications, Creative Arts, Language and Literature "
ENGX2020 ," Revolution, Evolution, Humanity: Literature and Change in the Long Nineteenth Century"," Media, Communications, Creative Arts, Language and Literature "
ENGX2030 , Literature and the Visual," Media, Communications, Creative Arts, Language and Literature "
ENGX3007 , Writing the Short Story," Media, Communications, Creative Arts, Language and Literature "
ENGX3010 ,Century Literature: Human to Posthuman," Media, Communications, Creative Arts, Language and Literature "
ENGX3020 , Global Contemporary Literature: Australians and the World," Media, Communications, Creative Arts, Language and Literature "
ENGX3031 , Popular Fiction," Media, Communications, Creative Arts, Language and Literature "
ENGX3035 , Novel and Novella Writing," Media, Communications, Creative Arts, Language and Literature "
ENGX3040 , Following Poetry from Epic to Instagram," Media, Communications, Creative Arts, Language and Literature "
ENGX3051 , Critical Approaches to Literature," Media, Communications, Creative Arts, Language and Literature "
ENGX8010 , Creative Writing Seminar: Narrative Fundamentals," Media, Communications, Creative Arts, Language and Literature "
ENGX8011 , Word Essentials: Prose and Poetry," Media, Communications, Creative Arts, Language and Literature "
ENGX8015 , An Introduction ," Media, Communications, Creative Arts, Language and Literature "
ENGX8017 ,Fiction," Media, Communications, Creative Arts, Language and Literature "
ENGX8022 ," Short Story, Novella, Poetry Cycle"," Media, Communications, Creative Arts, Language and Literature "
ENGX8026 ," Manuscript Project (Half Year, Part A) "," Media, Communications, Creative Arts, Language and Literature "
ENGX8030 , Digital Creative Writing: Interactive Prose and Poetry," Media, Communications, Creative Arts, Language and Literature "
ENGX8036 , Manuscript Project B," Media, Communications, Creative Arts, Language and Literature "
